index,prediction
0,6.68 centimetre
1,200 centimetre
2,42 centimetre
3,200 centimetre
4,90 centimetre
5,90 centimetre
6,90 centimetre
7,137.16 centimetre
8,40 centimetre
9,30 centimetre
10,
11,139.5 centimetre
12,1 inch
13,4.3 inch
14,4.3 inch
15,
16,100 gram
17,
18,
19,240 volt
20,120 centimetre
21,9 foot
22,0.5 fluid ounce
23,32 centimetre
24,32 centimetre
25,3.8 inch
26,9 centimetre
27,
28,0.63 pound
29,2.62 pound
30,
31,
32,5.8 inch
33,14 centimetre
34,5.8 inch
35,3 pound
36,102.9 centimetre
37,
38,8 watt
39,120 centimetre
40,120 centimetre
41,53 inch
42,96 inch
43,244 centimetre
44,60 centimetre
45,14 centimetre
46,5.8 inch
47,5.8 inch
48,47 inch
49,
50,47 inch
51,
52,
53,12.5 centimetre
54,19 centimetre
55,187.96 centimetre
56,
57,5.4 inch
58,47.2 inch
59,
60,
61,
62,280 metre
63,280 metre
64,280 metre
65,3.7 volt
66,
67,365.8 centimetre
68,4.2 inch
69,4.2 inch
70,10 centimetre
71,9.1 inch
72,9.1 inch
73,9.1 inch
74,1500 watt
75,
76,3.1 inch
77,3.1 inch
78,
79,120 centimetre
80,
81,243 pound
82,11.1 pound
83,10.0 ounce
84,98 centimetre
85,39 inch
86,98 centimetre
87,
88,
89,
90,60 centimetre
91,200.9 pound
92,400 metre
93,28.4 inch
94,
95,12.5 centimetre
96,12.5 inch
97,9.6 volt
98,80 centimetre
99,14.9 inch
100,37 inch
101,59 millilitre
102,
103,62 centimetre
104,69 centimetre
105,7.5 centimetre
106,20 centimetre
107,60 centimetre
108,8 ounce
109,40 centimetre
110,80 centimetre
111,10 ounce
112,650 watt
113,
114,
115,500 watt
116,1.05 ounce
117,
118,10 centimetre
119,10 centimetre
120,100 gram
121,25.7 centimetre
122,250 gram
123,660 pound
124,1 kilogram
125,
126,12 volt
127,191 centimetre
128,76 centimetre
129,7.8 pound
130,31 centimetre
131,25.6 inch
132,25.6 inch
133,25.6 inch
134,50 pound
135,20.0 centimetre
136,20.0 centimetre
137,18.5 centimetre
138,25.65 centimetre
139,100 metre
140,11.5 metre
141,14 centimetre
142,33 inch
143,82 inch
144,10 centimetre
145,90 centimetre
146,90 centimetre
147,
148,50 centimetre
149,50 centimetre
150,20 gram
151,90 centimetre
152,3.14 inch
153,7.86 inch
154,10 centimetre
155,5 centimetre
156,35 metre
157,36.2 inch
158,30.3 inch
159,2.31 pound
160,25 centimetre
161,
162,82 centimetre
163,76 inch
164,
165,
166,
167,6 kilogram
168,35 centimetre
169,10.5 centimetre
170,
171,33.1 inch
172,
173,7.8 inch
174,7.8 inch
175,14 centimetre
176,
177,
178,20 pound
179,5.9 inch
180,5.9 inch
181,2 pound
182,60 centimetre
183,
184,120 volt
185,
186,5.08 centimetre
187,5.08 centimetre
188,2.7 inch
189,28.0 centimetre
190,35.02 gram
191,61 centimetre
192,61 centimetre
193,6.2 pound
194,20 centimetre
195,33.3 centimetre
196,33.3 centimetre
197,40 pound
198,33 gram
199,8.4 ounce
200,37.5 centimetre
201,37.5 centimetre
202,37.5 centimetre
203,10 inch
204,7.4 inch
205,1700 watt
206,
207,11 inch
208,226 gram
209,11.8 kilogram
210,85.7 metre
211,5 gram
212,75 centimetre
213,5 volt
214,30 centimetre
215,60 centimetre
216,12 volt
217,
218,
219,
220,8.1 inch
221,8.1 inch
222,90.17 centimetre
223,50.7 pound
224,6.5 foot
225,90 centimetre
226,26 centimetre
227,113 gram
228,37 pound
229,
230,
231,60 centimetre
232,500 gram
233,160 centimetre
234,70 centimetre
235,75.6 inch
236,72 centimetre
237,183 centimetre
238,183 centimetre
239,31.5 centimetre
240,60 centimetre
241,70.8 centimetre
242,7 inch
243,21.5 centimetre
244,3.3 inch
245,7.6 centimetre
246,7.6 centimetre
247,78 centimetre
248,60 centimetre
249,5.9 centimetre
250,2.32 inch
251,65 centimetre
252,4.75 ounce
253,
254,55 centimetre
255,
256,16 centimetre
257,16 centimetre
258,76 centimetre
259,76 centimetre
260,135 pound
261,135 pound
262,80 centimetre
263,41 inch
264,18.5 inch
265,2.55 inch
266,2.55 inch
267,25 centimetre
268,20 centimetre
269,20 centimetre
270,7 centimetre
271,2.75 inch
272,7 centimetre
273,500 gram
274,6.4 inch
275,6.4 inch
276,8 ounce
277,
278,12 volt
279,8.2 inch
280,8.2 inch
281,109 gram
282,5.8 inch
283,5.8 inch
284,12 ounce
285,17 centimetre
286,27 centimetre
287,380 volt
288,3.5 inch
289,8 inch
290,7.05 ounce
291,39 centimetre
292,39 centimetre
293,120 kilogram
294,4.4 inch
295,4.4 inch
296,73.62 inch
297,63 inch
298,
299,
300,
301,
302,
303,1 pound
304,9.5 centimetre
305,300 metre
306,500 gram
307,25 inch
308,45 pound
309,0.9 inch
310,4.5 centimetre
311,80 centimetre
312,3.75 pound
313,6 ounce
314,21 centimetre
315,21 centimetre
316,5.0 centimetre
317,
318,15.2 centimetre
319,1.7 kilogram
320,20 centimetre
321,7.5 centimetre
322,11 inch
323,
324,
325,15.5 inch
326,15.5 centimetre
327,7 centimetre
328,7 centimetre
329,7 centimetre
330,6 ounce
331,900 gram
332,15 centimetre
333,40 centimetre
334,
335,120 watt
336,40 millilitre
337,4.9 inch
338,4.9 inch
339,
340,24 volt
341,
342,25 centimetre
343,
344,25 centimetre
345,60 inch
346,17 centimetre
347,17 centimetre
348,17 centimetre
349,0.5 kilogram
350,2.8 inch
351,2.8 inch
352,10 centimetre
353,10 centimetre
354,
355,12 inch
356,12 inch
357,3.1 inch
358,5.0 inch
359,226.7 gram
360,0.59 inch
361,0.59 inch
362,1050 gram
363,800 pound
364,80 centimetre
365,35 centimetre
366,35 centimetre
367,55 centimetre
368,1.2 fluid ounce
369,60 centimetre
370,64 centimetre
371,190 centimetre
372,
373,17.8 centimetre
374,7.0 inch
375,30 centimetre
376,3 kilogram
377,
378,12 volt
379,6.1 centimetre
380,4.7 inch
381,4.7 inch
382,60 centimetre
383,0.63 ounce
384,24 volt
385,
386,14 centimetre
387,14 centimetre
388,1.5 volt
389,38.1 inch
390,
391,100 centimetre
392,40 centimetre
393,11.5 inch
394,11.5 centimetre
395,11.5 inch
396,12 pound
397,12 ounce
398,15 centimetre
399,15 centimetre
400,15 centimetre
401,12 fluid ounce
402,226.8 gram
403,100 centimetre
404,7.9 centimetre
405,22.2 centimetre
406,
407,12 volt
408,
409,23.5 centimetre
410,5 centimetre
411,13.5 centimetre
412,146 centimetre
413,171 metre
414,
415,5 kilogram
416,
417,500 gram
418,8.3 inch
419,8.3 inch
420,473 fluid ounce
421,
422,
423,69 centimetre
424,69 centimetre
425,69 centimetre
426,250 gram
427,11 centimetre
428,3.14 centimetre
429,3.14 inch
430,300 centimetre
431,30 centimetre
432,
433,10.2 centimetre
434,10 centimetre
435,3.1 inch
436,200 gram
437,10 centimetre
438,20 centimetre
439,144 metre
440,
441,
442,220 volt
443,
444,
445,
446,12 volt
447,20 gram
448,20 gram
449,42 centimetre
450,61 centimetre
451,
452,51 centimetre
453,120 centimetre
454,39.8 inch
455,3.74 inch
456,3.74 inch
457,16 centimetre
458,6.29 inch
459,60 centimetre
460,
461,60 centimetre
462,60 centimetre
463,60 centimetre
464,
465,
466,10 pound
467,1 gallon
468,2.5 ounce
469,15.35 centimetre
470,15.35 inch
471,82 gram
472,82 watt
473,
474,60 centimetre
475,13 inch
476,13 inch
477,13 inch
478,11 centimetre
479,132 pound
480,1 pound
481,12 fluid ounce
482,60 centimetre
483,57 centimetre
484,30 centimetre
485,30 centimetre
486,30 centimetre
487,5.9 inch
488,5.9 inch
489,5.9 inch
490,80 centimetre
491,80 centimetre
492,12 metre
493,12 metre
494,12 metre
495,4 fluid ounce
496,6.3 inch
497,6.3 inch
498,6.4 centimetre
499,6.4 centimetre
500,109.5 centimetre
501,5 volt
502,12 inch
503,12 inch
504,
505,
506,44 centimetre
507,44 centimetre
508,7 centimetre
509,7.0 centimetre
510,33.5 centimetre
511,33.5 centimetre
512,23 pound
513,40 centimetre
514,40 gram
515,75 kilogram
516,30 centimetre
517,
518,27 metre
519,
520,11.4 inch
521,39.3 inch
522,7.4 inch
523,67 centimetre
524,3.5 inch
525,3.9 inch
526,3.5 inch
527,14.93 inch
528,5.1 inch
529,21.2 inch
530,5.5 inch
531,5.5 inch
532,150 gram
533,
534,70.9 centimetre
535,500 gram
536,60 centimetre
537,115.6 inch
538,25 gram
539,841 metre
540,
541,21 metre
542,3.5 inch
543,10 centimetre
544,
545,60.96 centimetre
546,33.02 centimetre
547,33.02 centimetre
548,12 volt
549,190 centimetre
550,60 centimetre
551,9.8 inch
552,9.8 inch
553,400 gram
554,2.1 inch
555,5.3 centimetre
556,6 inch
557,6 inch
558,2.3 inch
559,25 kilogram
560,
561,18 volt
562,8.65 inch
563,8.65 inch
564,20 centimetre
565,31 ounce
566,3 kilogram
567,
568,57 gram
569,10 centimetre
570,10 centimetre
571,50 inch
572,
573,16 ounce
574,11.8 fluid ounce
575,2.5 kilogram
576,3.3 kilogram
577,7.8 inch
578,7.8 inch
579,60 centimetre
580,60 centimetre
581,36.93 inch
582,36.93 inch
583,
584,350 watt
585,
586,100 gram
587,200 kilogram
588,9 kilogram
589,2.1 ounce
590,
591,
592,60 centimetre
593,54 centimetre
594,54 centimetre
595,27.5 centimetre
596,27.5 centimetre
597,
598,30.2 volt
599,
600,
601,
602,250 millilitre
603,30 centimetre
604,0.9 inch
605,0.9 inch
606,0.9 inch
607,80 watt
608,12 volt
609,36 centimetre
610,36 centimetre
611,42.01 centimetre
612,50 inch
613,50 inch
614,
615,
616,24 volt
617,2.65 pound
618,11 inch
619,11 inch
620,
621,25 watt
622,7.8 inch
623,7.8 inch
624,2.8 inch
625,2.8 inch
626,
627,35 centimetre
628,80 centimetre
629,70.1 inch
630,
631,60 centimetre
632,5 inch
633,5 inch
634,
635,27 centimetre
636,36 centimetre
637,6 inch
638,27 inch
639,4 inch
640,19 inch
641,19 inch
642,6 volt
643,120 centimetre
644,
645,110 volt
646,10.2 inch
647,10.2 inch
648,12.0 litre
649,
650,110 volt
651,
652,40 watt
653,5.50 pound
654,580 gram
655,14.37 inch
656,14.37 inch
657,40 centimetre
658,80 centimetre
659,44 centimetre
660,44 centimetre
